target_id,experiment,role,seed,dataset,architecture,source_run_id,fm_kind,n_wires,reps,pad_mode,fm_ent,fm_op,depth,ql_ent,ql_op,ql_rev,original_acc_train,original_acc_test,original_gap,vector_train,vector_valid,vector_test,batch_size,epochs,extra_feats,model_seed,data_seed,structural_cell_id,learning_rate,noise_study,noise_study_purpose,selection_frozen_before_noisy_outcomes
MNIST_QNN_eff_su2_r1_d2_s43,multiseed_factorial,eff_su2_r1_d2,43,MNIST,QNN,1622,eff_su2,6,1,wrap,linear,cx,2,linear,crz,False,0.865,0.71,0.155,200,200,200,16,100,False,43,43,eff_su2_r1_d2,0.05,N1_structural_factorial,"Primary 3x2x2 matched structural factorial under exact, ideal-shot, and one frozen backend-derived noise model; three trained target seeds.",True
MNIST_QNN_eff_su2_r1_d2_s44,multiseed_factorial,eff_su2_r1_d2,44,MNIST,QNN,1622,eff_su2,6,1,wrap,linear,cx,2,linear,crz,False,0.865,0.71,0.155,200,200,200,16,100,False,44,43,eff_su2_r1_d2,0.05,N1_structural_factorial,"Primary 3x2x2 matched structural factorial under exact, ideal-shot, and one frozen backend-derived noise model; three trained target seeds.",True
MNIST_QNN_eff_su2_r1_d2_s45,multiseed_factorial,eff_su2_r1_d2,45,MNIST,QNN,1622,eff_su2,6,1,wrap,linear,cx,2,linear,crz,False,0.865,0.71,0.155,200,200,200,16,100,False,45,43,eff_su2_r1_d2,0.05,N1_structural_factorial,"Primary 3x2x2 matched structural factorial under exact, ideal-shot, and one frozen backend-derived noise model; three trained target seeds.",True
MNIST_QNN_eff_su2_r1_d6_s43,multiseed_factorial,eff_su2_r1_d6,43,MNIST,QNN,1646,eff_su2,6,1,wrap,linear,cx,6,linear,crz,False,0.935,0.75,0.185,200,200,200,16,100,False,43,43,eff_su2_r1_d6,0.05,N1_structural_factorial,"Primary 3x2x2 matched structural factorial under exact, ideal-shot, and one frozen backend-derived noise model; three trained target seeds.",True
MNIST_QNN_eff_su2_r1_d6_s44,multiseed_factorial,eff_su2_r1_d6,44,MNIST,QNN,1646,eff_su2,6,1,wrap,linear,cx,6,linear,crz,False,0.935,0.75,0.185,200,200,200,16,100,False,44,43,eff_su2_r1_d6,0.05,N1_structural_factorial,"Primary 3x2x2 matched structural factorial under exact, ideal-shot, and one frozen backend-derived noise model; three trained target seeds.",True
MNIST_QNN_eff_su2_r1_d6_s45,multiseed_factorial,eff_su2_r1_d6,45,MNIST,QNN,1646,eff_su2,6,1,wrap,linear,cx,6,linear,crz,False,0.935,0.75,0.185,200,200,200,16,100,False,45,43,eff_su2_r1_d6,0.05,N1_structural_factorial,"Primary 3x2x2 matched structural factorial under exact, ideal-shot, and one frozen backend-derived noise model; three trained target seeds.",True
MNIST_QNN_eff_su2_r5_d2_s43,multiseed_factorial,eff_su2_r5_d2,43,MNIST,QNN,1766,eff_su2,6,5,wrap,linear,cx,2,linear,crz,False,0.865,0.71,0.155,200,200,200,16,100,False,43,43,eff_su2_r5_d2,0.05,N1_structural_factorial,"Primary 3x2x2 matched structural factorial under exact, ideal-shot, and one frozen backend-derived noise model; three trained target seeds.",True
MNIST_QNN_eff_su2_r5_d2_s44,multiseed_factorial,eff_su2_r5_d2,44,MNIST,QNN,1766,eff_su2,6,5,wrap,linear,cx,2,linear,crz,False,0.865,0.71,0.155,200,200,200,16,100,False,44,43,eff_su2_r5_d2,0.05,N1_structural_factorial,"Primary 3x2x2 matched structural factorial under exact, ideal-shot, and one frozen backend-derived noise model; three trained target seeds.",True
MNIST_QNN_eff_su2_r5_d2_s45,multiseed_factorial,eff_su2_r5_d2,45,MNIST,QNN,1766,eff_su2,6,5,wrap,linear,cx,2,linear,crz,False,0.865,0.71,0.155,200,200,200,16,100,False,45,43,eff_su2_r5_d2,0.05,N1_structural_factorial,"Primary 3x2x2 matched structural factorial under exact, ideal-shot, and one frozen backend-derived noise model; three trained target seeds.",True
MNIST_QNN_eff_su2_r5_d6_s43,multiseed_factorial,eff_su2_r5_d6,43,MNIST,QNN,1790,eff_su2,6,5,wrap,linear,cx,6,linear,crz,False,0.935,0.75,0.185,200,200,200,16,100,False,43,43,eff_su2_r5_d6,0.05,N1_structural_factorial,"Primary 3x2x2 matched structural factorial under exact, ideal-shot, and one frozen backend-derived noise model; three trained target seeds.",True
