target_id,experiment,model_seed,data_seed,command,log_path,model_path,attack_path,metrics_json,status,gpu,return_code,seconds,error
MNIST_QNN_eff_su2_r5_d2_s43,multiseed_factorial,43,43,/home/najeeb/.conda/envs/tq39_vv2/bin/python /home/najeeb/quarift_neurips_rebutal_2/experiments/qurift_main.py --model-type qnn --dataset mnist --target-id MNIST_QNN_eff_su2_r5_d2_s43 --experiment-id multiseed_factorial --run-id 1766 --model-seed 43 --data-seed 43 --random-ops 0 --vector-train 200 --vector-valid 200 --vector-test 200 --batch-size 16 --epochs 100 --n-wires 6 --depth 2 --qlayer-ent-kind linear --qlayer-twoq-op crz --fm-kind eff_su2 --train_target --export-attack-data --attack-feature-mode pv+stats --target-model-path /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r5_d2_s43/target_model.pt --attack-data-out /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r5_d2_s43/target_attack_data.pt --attack-metrics-out /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r5_d2_s43/target_export_summary.json --learning-rate 0.05 --fm-eff-reps 5 --fm-eff-pad-mod wrap --fm-eff-ent-kind linear --fm-eff-twoq-op cx,reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r5_d2_s43/train.log,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r5_d2_s43/target_model.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r5_d2_s43/target_attack_data.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r5_d2_s43/target_export_summary.json,ok,7,0,496.069,
MNIST_QNN_eff_su2_r5_d2_s45,multiseed_factorial,45,43,/home/najeeb/.conda/envs/tq39_vv2/bin/python /home/najeeb/quarift_neurips_rebutal_2/experiments/qurift_main.py --model-type qnn --dataset mnist --target-id MNIST_QNN_eff_su2_r5_d2_s45 --experiment-id multiseed_factorial --run-id 1766 --model-seed 45 --data-seed 43 --random-ops 0 --vector-train 200 --vector-valid 200 --vector-test 200 --batch-size 16 --epochs 100 --n-wires 6 --depth 2 --qlayer-ent-kind linear --qlayer-twoq-op crz --fm-kind eff_su2 --train_target --export-attack-data --attack-feature-mode pv+stats --target-model-path /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r5_d2_s45/target_model.pt --attack-data-out /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r5_d2_s45/target_attack_data.pt --attack-metrics-out /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r5_d2_s45/target_export_summary.json --learning-rate 0.05 --fm-eff-reps 5 --fm-eff-pad-mod wrap --fm-eff-ent-kind linear --fm-eff-twoq-op cx,reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r5_d2_s45/train.log,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r5_d2_s45/target_model.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r5_d2_s45/target_attack_data.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r5_d2_s45/target_export_summary.json,ok,2,0,501.239,
MNIST_QNN_eff_su2_r5_d2_s44,multiseed_factorial,44,43,/home/najeeb/.conda/envs/tq39_vv2/bin/python /home/najeeb/quarift_neurips_rebutal_2/experiments/qurift_main.py --model-type qnn --dataset mnist --target-id MNIST_QNN_eff_su2_r5_d2_s44 --experiment-id multiseed_factorial --run-id 1766 --model-seed 44 --data-seed 43 --random-ops 0 --vector-train 200 --vector-valid 200 --vector-test 200 --batch-size 16 --epochs 100 --n-wires 6 --depth 2 --qlayer-ent-kind linear --qlayer-twoq-op crz --fm-kind eff_su2 --train_target --export-attack-data --attack-feature-mode pv+stats --target-model-path /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r5_d2_s44/target_model.pt --attack-data-out /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r5_d2_s44/target_attack_data.pt --attack-metrics-out /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r5_d2_s44/target_export_summary.json --learning-rate 0.05 --fm-eff-reps 5 --fm-eff-pad-mod wrap --fm-eff-ent-kind linear --fm-eff-twoq-op cx,reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r5_d2_s44/train.log,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r5_d2_s44/target_model.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r5_d2_s44/target_attack_data.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r5_d2_s44/target_export_summary.json,ok,7,0,503.051,
MNIST_QNN_eff_su2_r5_d6_s43,multiseed_factorial,43,43,/home/najeeb/.conda/envs/tq39_vv2/bin/python /home/najeeb/quarift_neurips_rebutal_2/experiments/qurift_main.py --model-type qnn --dataset mnist --target-id MNIST_QNN_eff_su2_r5_d6_s43 --experiment-id multiseed_factorial --run-id 1790 --model-seed 43 --data-seed 43 --random-ops 0 --vector-train 200 --vector-valid 200 --vector-test 200 --batch-size 16 --epochs 100 --n-wires 6 --depth 6 --qlayer-ent-kind linear --qlayer-twoq-op crz --fm-kind eff_su2 --train_target --export-attack-data --attack-feature-mode pv+stats --target-model-path /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r5_d6_s43/target_model.pt --attack-data-out /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r5_d6_s43/target_attack_data.pt --attack-metrics-out /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r5_d6_s43/target_export_summary.json --learning-rate 0.05 --fm-eff-reps 5 --fm-eff-pad-mod wrap --fm-eff-ent-kind linear --fm-eff-twoq-op cx,reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r5_d6_s43/train.log,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r5_d6_s43/target_model.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r5_d6_s43/target_attack_data.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r5_d6_s43/target_export_summary.json,ok,3,0,597.205,
MNIST_QNN_z_r5_d2_s44,multiseed_factorial,44,43,/home/najeeb/.conda/envs/tq39_vv2/bin/python /home/najeeb/quarift_neurips_rebutal_2/experiments/qurift_main.py --model-type qnn --dataset mnist --target-id MNIST_QNN_z_r5_d2_s44 --experiment-id multiseed_factorial --run-id 326 --model-seed 44 --data-seed 43 --random-ops 0 --vector-train 200 --vector-valid 200 --vector-test 200 --batch-size 16 --epochs 100 --n-wires 6 --depth 2 --qlayer-ent-kind linear --qlayer-twoq-op crz --fm-kind z --train_target --export-attack-data --attack-feature-mode pv+stats --target-model-path /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_z_r5_d2_s44/target_model.pt --attack-data-out /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_z_r5_d2_s44/target_attack_data.pt --attack-metrics-out /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_z_r5_d2_s44/target_export_summary.json --learning-rate 0.05 --fm-z-reps 5 --fm-z-pad-mode wrap,reviewer_runs/multiseed_factorial/MNIST_QNN_z_r5_d2_s44/train.log,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_z_r5_d2_s44/target_model.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_z_r5_d2_s44/target_attack_data.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_z_r5_d2_s44/target_export_summary.json,ok,5,0,601.549,
MNIST_QNN_eff_su2_r5_d6_s44,multiseed_factorial,44,43,/home/najeeb/.conda/envs/tq39_vv2/bin/python /home/najeeb/quarift_neurips_rebutal_2/experiments/qurift_main.py --model-type qnn --dataset mnist --target-id MNIST_QNN_eff_su2_r5_d6_s44 --experiment-id multiseed_factorial --run-id 1790 --model-seed 44 --data-seed 43 --random-ops 0 --vector-train 200 --vector-valid 200 --vector-test 200 --batch-size 16 --epochs 100 --n-wires 6 --depth 6 --qlayer-ent-kind linear --qlayer-twoq-op crz --fm-kind eff_su2 --train_target --export-attack-data --attack-feature-mode pv+stats --target-model-path /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r5_d6_s44/target_model.pt --attack-data-out /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r5_d6_s44/target_attack_data.pt --attack-metrics-out /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r5_d6_s44/target_export_summary.json --learning-rate 0.05 --fm-eff-reps 5 --fm-eff-pad-mod wrap --fm-eff-ent-kind linear --fm-eff-twoq-op cx,reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r5_d6_s44/train.log,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r5_d6_s44/target_model.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r5_d6_s44/target_attack_data.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r5_d6_s44/target_export_summary.json,ok,4,0,800.876,
MNIST_QNN_eff_su2_r5_d6_s45,multiseed_factorial,45,43,/home/najeeb/.conda/envs/tq39_vv2/bin/python /home/najeeb/quarift_neurips_rebutal_2/experiments/qurift_main.py --model-type qnn --dataset mnist --target-id MNIST_QNN_eff_su2_r5_d6_s45 --experiment-id multiseed_factorial --run-id 1790 --model-seed 45 --data-seed 43 --random-ops 0 --vector-train 200 --vector-valid 200 --vector-test 200 --batch-size 16 --epochs 100 --n-wires 6 --depth 6 --qlayer-ent-kind linear --qlayer-twoq-op crz --fm-kind eff_su2 --train_target --export-attack-data --attack-feature-mode pv+stats --target-model-path /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r5_d6_s45/target_model.pt --attack-data-out /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r5_d6_s45/target_attack_data.pt --attack-metrics-out /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r5_d6_s45/target_export_summary.json --learning-rate 0.05 --fm-eff-reps 5 --fm-eff-pad-mod wrap --fm-eff-ent-kind linear --fm-eff-twoq-op cx,reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r5_d6_s45/train.log,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r5_d6_s45/target_model.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r5_d6_s45/target_attack_data.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r5_d6_s45/target_export_summary.json,ok,1,0,831.285,
MNIST_QNN_z_r5_d6_s45,multiseed_factorial,45,43,/home/najeeb/.conda/envs/tq39_vv2/bin/python /home/najeeb/quarift_neurips_rebutal_2/experiments/qurift_main.py --model-type qnn --dataset mnist --target-id MNIST_QNN_z_r5_d6_s45 --experiment-id multiseed_factorial --run-id 350 --model-seed 45 --data-seed 43 --random-ops 0 --vector-train 200 --vector-valid 200 --vector-test 200 --batch-size 16 --epochs 100 --n-wires 6 --depth 6 --qlayer-ent-kind linear --qlayer-twoq-op crz --fm-kind z --train_target --export-attack-data --attack-feature-mode pv+stats --target-model-path /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_z_r5_d6_s45/target_model.pt --attack-data-out /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_z_r5_d6_s45/target_attack_data.pt --attack-metrics-out /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_z_r5_d6_s45/target_export_summary.json --learning-rate 0.05 --fm-z-reps 5 --fm-z-pad-mode wrap,reviewer_runs/multiseed_factorial/MNIST_QNN_z_r5_d6_s45/train.log,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_z_r5_d6_s45/target_model.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_z_r5_d6_s45/target_attack_data.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_z_r5_d6_s45/target_export_summary.json,ok,5,0,835.706,
MNIST_QNN_z_r5_d6_s44,multiseed_factorial,44,43,/home/najeeb/.conda/envs/tq39_vv2/bin/python /home/najeeb/quarift_neurips_rebutal_2/experiments/qurift_main.py --model-type qnn --dataset mnist --target-id MNIST_QNN_z_r5_d6_s44 --experiment-id multiseed_factorial --run-id 350 --model-seed 44 --data-seed 43 --random-ops 0 --vector-train 200 --vector-valid 200 --vector-test 200 --batch-size 16 --epochs 100 --n-wires 6 --depth 6 --qlayer-ent-kind linear --qlayer-twoq-op crz --fm-kind z --train_target --export-attack-data --attack-feature-mode pv+stats --target-model-path /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_z_r5_d6_s44/target_model.pt --attack-data-out /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_z_r5_d6_s44/target_attack_data.pt --attack-metrics-out /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_z_r5_d6_s44/target_export_summary.json --learning-rate 0.05 --fm-z-reps 5 --fm-z-pad-mode wrap,reviewer_runs/multiseed_factorial/MNIST_QNN_z_r5_d6_s44/train.log,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_z_r5_d6_s44/target_model.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_z_r5_d6_s44/target_attack_data.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_z_r5_d6_s44/target_export_summary.json,ok,0,0,839.655,
MNIST_QNN_z_r5_d6_s43,multiseed_factorial,43,43,/home/najeeb/.conda/envs/tq39_vv2/bin/python /home/najeeb/quarift_neurips_rebutal_2/experiments/qurift_main.py --model-type qnn --dataset mnist --target-id MNIST_QNN_z_r5_d6_s43 --experiment-id multiseed_factorial --run-id 350 --model-seed 43 --data-seed 43 --random-ops 0 --vector-train 200 --vector-valid 200 --vector-test 200 --batch-size 16 --epochs 100 --n-wires 6 --depth 6 --qlayer-ent-kind linear --qlayer-twoq-op crz --fm-kind z --train_target --export-attack-data --attack-feature-mode pv+stats --target-model-path /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_z_r5_d6_s43/target_model.pt --attack-data-out /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_z_r5_d6_s43/target_attack_data.pt --attack-metrics-out /home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_z_r5_d6_s43/target_export_summary.json --learning-rate 0.05 --fm-z-reps 5 --fm-z-pad-mode wrap,reviewer_runs/multiseed_factorial/MNIST_QNN_z_r5_d6_s43/train.log,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_z_r5_d6_s43/target_model.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_z_r5_d6_s43/target_attack_data.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_runs/multiseed_factorial/MNIST_QNN_z_r5_d6_s43/target_export_summary.json,ok,0,0,842.856,
